ID,Substance,Task,Pipeline,Threshold,Sensitivity,Specificity,Accuracy,ROC AUC
ID20,Nectarine,Use,global_ssl,0.35,0.669 ± 0.192,0.242 ± 0.290,0.542 ± 0.164,0.501 ± 0.208
ID20,Melon,Crave,global_supervised,0.17,0.741 ± 0.289,0.000 ± 0.000,0.380 ± 0.203,0.536 ± 0.271
ID20,Melon,Use,global_supervised,0.24,1.000 ± 0.000,0.000 ± 0.000,0.823 ± 0.131,0.165 ± 0.183
ID20,Nectarine,Crave,global_supervised,0.35,0.970 ± 0.171,0.866 ± 0.341,1.000 ± 0.000,1.000 ± 0.000
ID20,Nectarine,Use,global_supervised,0.14,0.788 ± 0.167,0.000 ± 0.000,0.549 ± 0.164,0.281 ± 0.184
ID20,Melon,Crave,personal_ssl,0.47,0.743 ± 0.281,0.757 ± 0.284,0.756 ± 0.176,0.672 ± 0.264
ID20,Melon,Use,personal_ssl,0.33,0.665 ± 0.188,0.420 ± 0.428,0.639 ± 0.170,0.742 ± 0.253
ID20,Nectarine,Crave,personal_ssl,0.45,0.970 ± 0.171,0.866 ± 0.341,1.000 ± 0.000,1.000 ± 0.000
ID20,Nectarine,Use,personal_ssl,0.31,0.330 ± 0.198,0.949 ± 0.220,0.533 ± 0.169,0.445 ± 0.221
ID21,Melon,Crave,global_ssl,0.27,0.840 ± 0.190,0.206 ± 0.233,0.562 ± 0.179,0.441 ± 0.236
ID21,Nectarine,Crave,global_ssl,0.54,0.602 ± 0.087,0.801 ± 0.073,0.699 ± 0.057,0.747 ± 0.068
ID21,Nectarine,Use,global_ssl,0.39,0.615 ± 0.219,0.452 ± 0.194,0.522 ± 0.137,0.688 ± 0.182
ID21,Melon,Crave,global_supervised,0.17,0.999 ± 0.032,0.000 ± 0.000,0.558 ± 0.178,0.711 ± 0.220
ID21,Nectarine,Crave,global_supervised,0.35,0.743 ± 0.079,0.315 ± 0.089,0.534 ± 0.064,0.537 ± 0.079
ID21,Nectarine,Use,global_supervised,0.14,0.866 ± 0.162,0.189 ± 0.145,0.477 ± 0.139,0.598 ± 0.172
ID21,Melon,Crave,personal_ssl,0.45,0.507 ± 0.256,0.593 ± 0.288,0.548 ± 0.175,0.673 ± 0.225
ID21,Nectarine,Crave,personal_ssl,0.45,0.699 ± 0.083,0.726 ± 0.084,0.713 ± 0.058,0.771 ± 0.067
ID21,Nectarine,Use,personal_ssl,0.44,0.494 ± 0.234,0.723 ± 0.173,0.625 ± 0.139,0.802 ± 0.143
ID25,Almond,Crave,global_ssl,0.26,0.385 ± 0.418,0.867 ± 0.082,0.839 ± 0.086,0.731 ± 0.192
ID25,Almond,Use,global_ssl,0.16,0.584 ± 0.395,0.437 ± 0.120,0.462 ± 0.111,0.660 ± 0.227
ID25,Carrot,Crave,global_ssl,0.3,0.504 ± 0.500,0.557 ± 0.120,0.575 ± 0.117,0.779 ± 0.099
ID25,Almond,Crave,global_supervised,0.5,0.385 ± 0.418,0.605 ± 0.124,0.598 ± 0.118,0.382 ± 0.287
ID25,Almond,Use,global_supervised,0.17,0.290 ± 0.348,0.474 ± 0.118,0.458 ± 0.112,0.246 ± 0.155
ID25,Carrot,Crave,global_supervised,0.17,0.504 ± 0.500,0.444 ± 0.124,0.466 ± 0.120,0.699 ± 0.110
ID25,Almond,Crave,personal_ssl,0.48,0.385 ± 0.418,0.867 ± 0.082,0.839 ± 0.086,0.666 ± 0.238
ID25,Almond,Use,personal_ssl,0.33,0.600 ± 0.394,0.761 ± 0.104,0.752 ± 0.099,0.689 ± 0.163
ID25,Carrot,Crave,personal_ssl,0.54,0.504 ± 0.500,0.959 ± 0.050,0.961 ± 0.048,0.980 ± 0.026
ID26,Carrot,Use,global_ssl,0.17,0.750 ± 0.433,0.393 ± 0.118,0.439 ± 0.115,0.737 ± 0.110
ID26,Carrot,Use,global_supervised,0.22,0.750 ± 0.433,0.123 ± 0.078,0.189 ± 0.091,0.524 ± 0.277
ID26,Carrot,Use,personal_ssl,0.4,0.374 ± 0.415,0.440 ± 0.124,0.444 ± 0.118,0.497 ± 0.320
ID27,Melon,Crave,global_ssl,0.46,0.000 ± 0.000,0.080 ± 0.092,0.070 ± 0.080,0.060 ± 0.076
ID27,Melon,Use,global_ssl,0.4,1.000 ± 0.000,0.000 ± 0.000,0.823 ± 0.131,0.765 ± 0.189
ID27,Nectarine,Crave,global_ssl,0.33,0.989 ± 0.104,0.453 ± 0.208,0.653 ± 0.151,0.566 ± 0.202
ID27,Nectarine,Use,global_ssl,0.36,0.772 ± 0.121,0.249 ± 0.133,0.529 ± 0.104,0.461 ± 0.126
ID27,Melon,Crave,global_supervised,0.17,0.735 ± 0.442,0.156 ± 0.129,0.267 ± 0.151,0.478 ± 0.175
ID27,Melon,Use,global_supervised,0.24,1.000 ± 0.000,0.000 ± 0.000,0.823 ± 0.131,0.617 ± 0.201
ID27,Nectarine,Crave,global_supervised,0.35,0.989 ± 0.104,0.453 ± 0.208,0.653 ± 0.151,0.958 ± 0.069
ID27,Nectarine,Use,global_supervised,0.14,0.886 ± 0.092,0.062 ± 0.074,0.502 ± 0.106,0.527 ± 0.126
ID27,Melon,Crave,personal_ssl,0.12,0.735 ± 0.442,0.147 ± 0.120,0.261 ± 0.140,0.894 ± 0.123
ID27,Melon,Use,personal_ssl,0.4,0.775 ± 0.166,0.000 ± 0.000,0.638 ± 0.172,0.320 ± 0.305
ID27,Nectarine,Crave,personal_ssl,0.41,0.989 ± 0.104,0.000 ± 0.000,0.364 ± 0.154,0.271 ± 0.236
ID27,Nectarine,Use,personal_ssl,0.39,0.833 ± 0.107,0.124 ± 0.102,0.502 ± 0.105,0.510 ± 0.119
ID28,Almond,Use,global_ssl,0.25,0.404 ± 0.435,0.246 ± 0.293,0.333 ± 0.237,0.249 ± 0.310
ID28,Coffee,Use,global_ssl,0.4,0.948 ± 0.222,0.746 ± 0.289,0.859 ± 0.157,1.000 ± 0.000
ID28,Almond,Use,global_supervised,0.17,0.396 ± 0.433,0.246 ± 0.293,0.331 ± 0.247,0.500 ± 0.365
ID28,Coffee,Use,global_supervised,0.34,0.948 ± 0.222,0.506 ± 0.333,0.720 ± 0.205,0.924 ± 0.156
ID28,Almond,Use,personal_ssl,0.15,0.800 ± 0.400,0.501 ± 0.339,0.667 ± 0.246,0.882 ± 0.212
ID28,Coffee,Use,personal_ssl,0.43,0.948 ± 0.222,0.990 ± 0.100,1.000 ± 0.000,1.000 ± 0.000
ID5,Melon,Crave,global_ssl,0.21,0.719 ± 0.324,0.113 ± 0.076,0.200 ± 0.087,0.218 ± 0.099
ID5,Melon,Crave,global_supervised,0.17,0.942 ± 0.234,0.076 ± 0.064,0.201 ± 0.091,0.443 ± 0.161
ID5,Melon,Crave,personal_ssl,0.41,0.719 ± 0.324,0.420 ± 0.120,0.467 ± 0.111,0.563 ± 0.190
ID9,Melon,Crave,global_ssl,0.37,0.000 ± 0.000,0.893 ± 0.085,0.804 ± 0.104,0.481 ± 0.153
ID9,Melon,Crave,global_supervised,0.17,0.749 ± 0.434,0.111 ± 0.090,0.199 ± 0.111,0.675 ± 0.135
ID9,Melon,Crave,personal_ssl,0.27,0.000 ± 0.000,0.947 ± 0.062,0.853 ± 0.094,0.617 ± 0.251
